"","Time","Parasites","ImmuneCells"
"127",12.6,23.7390079962249,98.490861145195
"128",12.7,23.7391498648026,98.4906401480253
"129",12.8,23.7392781524846,98.4904404718851
"130",12.9,23.7393941488162,98.4902600695495
"131",13,23.7394990224125,98.4900970889082
"132",13.1,23.7395938320259,98.4899498546846
"133",13.2,23.7396795366941,98.4898168517249
"134",13.3,23.7397570049871,98.4896967098215
"135",13.4,23.739827023414,98.4895881899627
"136",13.5,23.7398903040665,98.4894901718707
"137",13.6,23.7399475144057,98.4894016068714
"138",13.7,23.7399991831124,98.4893216653261
"139",13.8,23.7400459172276,98.4892493956998
"140",13.9,23.7400881395228,98.4891841361938
"141",14,23.740126283952,98.4891252079966
"142",14.1,23.7401607426695,98.4890719983302
"143",14.2,23.7401918702392,98.4890239537022
"144",14.3,23.7402199873312,98.4889805739941
"145",14.4,23.7402453839321,98.4889414073418
"146",14.5,23.7402683222555,98.4889060455035
"147",14.6,23.7402890393797,98.4888741196683
"148",14.7,23.7403077496385,98.4888452966654
"149",14.8,23.7403246467865,98.4888192755349
"150",14.9,23.7403399059609,98.4887957844265
"151",15,23.7403536854587,98.4887745777955
"152",15.1,23.7403661283448,98.4887554338664
"153",15.2,23.7403773639089,98.4887381523411
"154",15.3,23.7403875089841,98.4887225523256
"155",15.4,23.7403966691402,98.4887084704566
"156",15.5,23.7404049397636,98.4886957592082
"157",15.6,23.7404124070347,98.4886842853606
"158",15.7,23.7404191488119,98.4886739286175
"159",15.8,23.7404252354318,98.4886645803552
"160",15.9,23.7404307304321,98.4886561424936
"161",16,23.7404356912062,98.4886485264749
"162",16.1,23.7404401695953,98.4886416523416
"163",16.2,23.7404442124229,98.4886354479028
"164",16.3,23.7404478619791,98.4886298479822
"165",16.4,23.7404511564574,98.4886247937373
"166",16.5,23.740454130351,98.4886202320452
"167",16.6,23.7404568148093,98.4886161149483
"168",16.7,23.7404592379617,98.488612399152
"169",16.8,23.740461425209,98.4886090455731
"170",16.9,23.7404633994879,98.4886060189302
"171",17,23.7404651815087,98.4886032873746
"172",17.1,23.7404667899716,98.488600822157
"173",17.2,23.7404682417608,98.4885985973263
"174",17.3,23.7404695521205,98.4885965894574
"175",17.4,23.740470734814,98.4885947774058
"176",17.5,23.7404718022672,98.4885931420861
"177",17.6,23.7404727656983,98.4885916662713
"178",17.7,23.7404736352348,98.4885903344122
"179",17.8,23.7404744200196,98.4885891324744
"180",17.9,23.7404751283062,98.4885880477907
"181",18,23.7404757675456,98.4885870689279
"182",18.1,23.7404763444636,98.488586185567
"183",18.2,23.7404768651316,98.4885853883946
"184",18.3,23.7404773350302,98.4885846690049
"185",18.4,23.7404777591065,98.4885840198116
"186",18.5,23.7404781418261,98.4885834339676
"187",18.6,23.7404784872196,98.4885829052937
"188",18.7,23.7404787989252,98.4885824282126
"189",18.8,23.7404790802269,98.4885819976914
"190",18.9,23.7404793340886,98.4885816091874
"191",19,23.7404795631856,98.4885812586014
"192",19.1,23.7404797699326,98.4885809422336
"193",19.2,23.740479956509,98.4885806567451
"194",19.3,23.7404801250575,98.4885803988537
"195",19.4,23.7404802773116,98.488580165904
"196",19.5,23.7404804146785,98.4885799557408
"197",19.6,23.7404805385458,98.4885797662393
"198",19.7,23.7404806499637,98.488579595791
"199",19.8,23.7404807504784,98.4885794420282
"200",19.9,23.7404808412755,98.4885793031359
"201",20,23.7404809232378,98.4885791777624
"202",20.1,23.7404809973777,98.4885790643579
"203",20.2,23.7404810656303,98.4885789599613
"204",20.3,23.7404811229718,98.4885788722584
"205",20.4,23.7404811749765,98.48857879272
"206",20.5,23.7404812221409,98.4885787205863
"207",20.6,23.7404812649156,98.4885786551679
"208",20.7,23.7404813037089,98.4885785958398
"209",20.8,23.7404813388913,98.488578542035
"210",20.9,23.740481370799,98.4885784932394
"211",21,23.7404813997366,98.4885784489868
"212",21.1,23.7404814259805,98.4885784088541
"213",21.2,23.7404814497815,98.4885783724579
"214",21.3,23.740481471367,98.4885783394503
"215",21.4,23.740481490943,98.4885783095159
"216",21.5,23.7404815086967,98.4885782823685
"217",21.6,23.7404815247977,98.4885782577488
"218",21.7,23.7404815393998,98.4885782354213
"219",21.8,23.7404815526425,98.4885782151727
"220",21.9,23.7404815646524,98.4885781968094
"221",22,23.7404815755442,98.4885781801559
"222",22.1,23.7404815854219,98.488578165053
"223",22.2,23.7404815943801,98.4885781513563
"224",22.3,23.7404816025042,98.488578138935
"225",22.4,23.740481609872,98.4885781276703
"226",22.5,23.7404816165538,98.4885781174544
"227",22.6,23.7404816226135,98.4885781081898
"228",22.7,23.7404816281091,98.4885780997878
"229",22.8,23.7404816330929,98.4885780921682
"230",22.9,23.7404816376127,98.4885780852581
"231",23,23.7404816417117,98.4885780789914
"232",23.1,23.7404816454291,98.4885780733083
"233",23.2,23.7404816488003,98.4885780681543
"234",23.3,23.7404816518577,98.4885780634803
"235",23.4,23.7404816546303,98.4885780592415
"236",23.5,23.7404816571448,98.4885780553974
"237",23.6,23.7404816594252,98.4885780519113
"238",23.7,23.7404816614932,98.4885780487498
"239",23.8,23.7404816633687,98.4885780458827
"240",23.9,23.7404816650696,98.4885780432826
"241",24,23.740481666612,98.4885780409246
"242",24.1,23.7404816680109,98.4885780387862
"243",24.2,23.7404816692795,98.4885780368469
"244",24.3,23.7404816704299,98.4885780350882
"245",24.4,23.7404816714733,98.4885780334932
"246",24.5,23.7404816724195,98.4885780320468
"247",24.6,23.7404816732776,98.4885780307351
"248",24.7,23.7404816740557,98.4885780295455
"249",24.8,23.7404816747614,98.4885780284667
"250",24.9,23.7404816754014,98.4885780274884
"251",25,23.7404816759819,98.4885780266012
