"","Times","P","I"
"188",18.7,127.132137156886,277.635252360018
"189",18.8,120.874847295425,278.952825865013
"190",18.9,114.618039492877,279.749599506357
"191",19,108.454253858028,280.026411313103
"192",19.1,102.463064434218,279.794171272586
"193",19.2,96.7097707149433,279.072764904112
"194",19.3,91.2451350194281,277.889647944373
"195",19.4,86.1059738967488,276.278269201316
"196",19.5,81.3164088214598,274.276445109174
"197",19.6,76.8895275850103,271.924797755693
"198",19.7,72.8292523517842,269.265336453666
"199",19.8,69.1322355193851,266.340236249849
"200",19.9,65.7896534282879,263.190840130927
"201",20,62.7888162199385,259.856886213543
"202",20.1,60.1145477914646,256.375948251145
"203",20.2,57.7503197710827,252.78306663867
"204",20.3,55.6791539191438,249.110538555216
"205",20.4,53.8843124749397,245.38783842759
"206",20.5,52.3498077693724,241.64163816227
"207",20.6,51.0607573273101,237.895904764615
"208",20.7,50.0036273790574,234.172044545849
"209",20.8,49.1663746732486,230.489087349684
"210",20.9,48.5385209296134,226.863888507072
"211",21,48.111178146023,223.311338906785
"212",21.1,47.8770375997494,219.844576581441
"213",21.2,47.8303346788527,216.475193640167
"214",21.3,47.9667982172415,213.213434852014
"215",21.4,48.2835903652738,210.068385600785
"216",21.5,48.7792409425063,207.048148017481
"217",21.6,49.4535785511065,204.1600048685
"218",21.7,50.307659360166,201.410571312532
"219",21.8,51.3436933510814,198.80593498517
"220",21.9,52.5649668752246,196.351785072782
"221",22,53.9757595641077,194.053531128905
"222",22.1,55.5812529059463,191.916412393065
"223",22.2,57.3874271284828,189.945598311896
"224",22.3,59.4009423841008,188.14628084822
"225",22.4,61.6289996081936,186.523759002997
"226",22.5,64.0791758152021,185.0835157713
"227",22.6,66.7592280207494,183.831287506865
"228",22.7,69.6768594406441,182.77312537432
"229",22.8,72.8394413982133,181.915448264369
"230",22.9,76.2536843367392,181.265086214074
"231",23,79.9252472968835,180.829312085663
"232",23.1,83.8582859945125,180.615860677336
"233",23.2,88.0549290131557,180.632931965767
"234",23.3,92.5146775950565,180.889174805421
"235",23.4,97.2337282747061,181.393647365816
"236",23.5,102.204219932494,182.155749212393
"237",23.6,107.413411630956,183.185119172479
"238",23.7,112.842802512645,184.491492114274
"239",23.8,118.467218545741,186.08450776866
"240",23.9,124.253891591729,187.973461392266
"241",24,130.161577922948,190.166988764458
"242",24.1,136.13977318866,192.672676717604
"243",24.2,142.128095221554,195.496590656046
"244",24.3,148.055922558688,198.642712848814
"245",24.4,153.842390234908,202.112288326722
"246",24.5,159.396854652506,205.903080199667
"247",24.6,164.619943162366,210.008543440975
"248",24.7,169.40529406533,214.416936237706
"249",24.8,173.642068200185,219.11039984191
"250",24.9,177.218334354524,224.064053410166
"251",25,180.025210329124,229.245172518899
"252",25.1,181.96173129704,234.61252572568
"253",25.2,182.940246002778,240.115971651698
"254",25.3,182.892009841563,245.696420048596
"255",25.4,181.772541847925,251.286267425294
"256",25.5,179.56624087303,256.810398273555
"257",25.6,176.289708941054,262.187812705493
"258",25.7,171.993265530043,267.333887533876
"259",25.8,166.760260863959,272.163208003017
"260",25.9,160.704009309237,276.592826059603
"261",26,153.962444684148,280.545722695404
"262",26.1,146.690903988698,283.954191704046
"263",26.2,139.053715621071,286.762836756575
"264",26.3,131.215442365471,288.930893909723
"265",26.4,123.332665731305,290.433659170739
"266",26.5,115.547078502725,291.262906133181
"267",26.6,107.980473588137,291.426295686105
"268",26.7,100.731779456232,290.945916096274
"269",26.8,93.876178905028,289.856143491516
"270",26.9,87.4659609509223,288.20109715598
"271",27,81.5327132934954,286.031937761301
