"","Time","P","I"
"317",31.6,156.668681524056,1448.25892770226
"318",31.7,157.391141061082,1459.72989862364
"319",31.8,157.935503452135,1471.21707626812
"320",31.9,158.299822225854,1482.69792717042
"321",32,158.483127665237,1494.14929875579
"322",32.1,158.485443761762,1505.54754832768
"323",32.2,158.307793308982,1516.86868157965
"324",32.3,157.952190133525,1528.08849956239
"325",32.4,157.42162001076,1539.18275106472
"326",32.5,156.720009471105,1550.12728945103
"327",32.6,155.852182963064,1560.89823175658
"328",32.7,154.823809441267,1571.47211761723
"329",32.8,153.641339473693,1581.82606571528
"330",32.9,152.311933914799,1591.93792565784
"331",33,150.843385541168,1601.78642309012
"332",33.1,149.244035133568,1611.35129602073
"333",33.2,147.522683564627,1620.61342050204
"334",33.3,145.688501481708,1629.5549240331
"335",33.4,143.750938161997,1638.15928531978
"336",33.5,141.719631071399,1646.41141920668
"337",33.6,139.604317561651,1654.29774622694
"338",33.7,137.414749952858,1661.8062458342
"339",33.8,135.160615228554,1668.92649403467
"340",33.9,132.851460331089,1675.64968428571
"341",34,130.496623824,1681.96863290937
"342",34.1,128.105174482143,1687.8777697191
"343",34.2,125.685857232513,1693.37311453077
"344",34.3,123.247047145267,1698.45223988423
"345",34.4,120.796710577786,1703.11422302988
"346",34.5,118.342374049484,1707.35958713739
"347",34.6,115.891100651067,1711.19023314483
"348",34.7,113.449473465225,1714.60936406458
"349",34.8,111.023585499766,1717.62140328544
"350",34.9,108.619035711612,1720.23190810712
"351",35,106.24093052877,1722.4474799345
"352",35.1,103.893890264763,1724.27567242839
"353",35.2,101.582059804849,1725.72489882042
"354",35.3,99.3091229444323,1726.80433948999
"355",35.4,97.0783197732677,1727.5238507855
"356",35.5,94.8924665238555,1727.89387595136
"357",35.6,92.7539773453158,1727.92535888826
"358",35.7,90.6648874575274,1727.62966141361
"359",35.8,88.6268772936103,1727.01848442564
"360",35.9,86.6412971518844,1726.10379345638
"361",36,84.7091920300767,1724.89774883744
"362",36.1,82.8313262973158,1723.41264071487
"363",36.2,81.0082079563744,1721.6608289835
"364",36.3,79.2401122629081,1719.65468818707
"365",36.4,77.5271045190496,1717.406557349
"366",36.5,75.8690618995555,1714.92869464062
"367",36.6,74.2656941974237,1712.23323675813
"368",36.7,72.7165634160255,1709.33216282589
"369",36.8,71.2211021541203,1706.23726262983
"370",36.9,69.7786307595301,1702.96010895114
"371",37,68.388373244727,1699.51203376086
"372",37.1,67.0494719752655,1695.90410802422
"373",37.2,65.7610011563252,1692.14712485796
"374",37.3,64.521979153734,1688.25158578377
"375",37.4,63.3313796945547,1684.22768982321
"376",37.5,62.1881419989877,1680.08532518566
"377",37.6,61.0911799000315,1675.83406330841
"378",37.7,60.0393900104144,1671.48315501794
"379",37.8,59.0316589979917,1667.04152859271
"380",37.9,58.0668700313181,1662.5177895197
"381",38,57.1439084566716,1657.92022174977
"382",38.1,56.2616667665928,1653.25679027007
"383",38.2,55.4190489181875,1648.53514482464
"384",38.3,54.6149740571864,1643.76262462747
"385",38.4,53.8483797010744,1638.94626392514
"386",38.5,53.1182244318236,1634.09279827805
"387",38.6,52.4234901456645,1629.2086714418
"388",38.7,51.7631839043217,1624.30004274088
"389",38.8,51.1363394290119,1619.37279483748
"390",38.9,50.542018275422,1614.43254180871
"391",39,49.979310724929,1609.48463745417
"392",39.1,49.4473364242315,1604.53418376536
"393",39.2,48.9452448032665,1599.58603949482
"394",39.3,48.4722152979742,1594.64482877224
"395",39.4,48.0274574025741,1589.71494971968
"396",39.5,47.6102105732853,1584.80058302556
"397",39.6,47.2197440034263,1579.9057004416
"398",39.7,46.8553562877651,1575.03407317259
"399",39.8,46.5163749920799,1570.189280133
"400",39.9,46.2021561421739,1565.37471604885
"401",40,45.9120836449994,1560.59359938654
"402",40.1,45.6455686530871,1555.84898009403
"403",40.2,45.4020488821503,1551.14374714211
"404",40.3,45.1809878905244,1546.48063585659
"405",40.4,44.9818743280082,1541.86223503407
"406",40.5,44.8042211606828,1537.2909938361
"407",40.6,44.64756487739,1532.76922845835
"408",40.7,44.5114646827483,1528.2991285726
"409",40.8,44.395501680865,1523.88276354096
"410",40.9,44.2992780532566,1519.52208840272
"411",41,44.2224162339121,1515.21894963503
"412",41.1,44.1645580839258,1510.97509068957
"413",41.2,44.125364067666,1506.79215730807
"414",41.3,44.1045124320468,1502.67170261978
"415",41.4,44.1016983901157,1498.6151920248
"416",41.5,44.1166333098552,1494.6240078673
"417",41.6,44.1490439088284,1490.69945390287
"418",41.7,44.1986714550583,1486.84275956476
"419",41.8,44.2652709743272,1483.0550840334
"420",41.9,44.348610463908,1479.33752011423
"421",42,44.4484701125874,1475.69109792832
"422",42.1,44.5646415267185,1472.11678842084
"423",42.2,44.6969269619349,1468.61550669185
"424",42.3,44.8451385600743,1465.1881151542
"425",42.4,45.0090975907962,1461.83542652304
"426",42.5,45.1886336973256,1458.55820664142
"427",42.6,45.3835841457241,1455.35717714613
"428",42.7,45.5937930770665,1452.23301797811
"429",42.8,45.8191107618963,1449.1863697413
"430",42.9,46.0593928563391,1446.21783591377
"431",43,46.3144996592653,1443.32798491481
"432",43.1,46.5842953699268,1440.51735203133
"433",43.2,46.8686473455247,1437.78644120711
"434",43.3,47.1674253582164,1435.13572669768
"435",43.4,47.4805008511238,1432.56565459411
"436",43.5,47.8077461929728,1430.07664421819
"437",43.6,48.1490339310673,1427.66908939182
"438",43.7,48.5042360423846,1425.34335958291
"439",43.8,48.8732231826717,1423.09980093023
"440",43.9,49.2558639335193,1420.93873714911
"441",44,49.6520240475023,1418.86047032035
"442",44.1,50.0615656915868,1416.86528156388
"443",44.2,50.4843466891335,1414.95343159924
"444",44.3,50.920219760947,1413.12516119428
"445",44.4,51.3690317659731,1411.380691504
"446",44.5,51.8306229423837,1409.72022430063
"447",44.6,52.3048261499465,1408.1439420969
"448",44.7,52.7914661147196,1406.6520081636
"449",44.8,53.2903586773191,1405.24456644238
"450",44.9,53.8013100461035,1403.92174135696
"451",45,54.3241160568736,1402.68363752047
"452",45.1,54.8585614407054,1401.53033934741
"453",45.2,55.4044191020972,1400.46191056228
"454",45.3,55.9614494093538,1399.47839361271
"455",45.4,56.5293994994913,1398.57980898822
"456",45.5,57.1080026002068,1397.76615444501
"457",45.6,57.6969773715624,1397.03740413925
"458",45.7,58.296027270232,1396.3935076708
"459",45.8,58.9048399393385,1395.83438903987
"460",45.9,59.5230866270841,1395.35994551894
"461",46,60.1504216375412,1394.97004644282
"462",46.1,60.7864818171273,1394.66453191979
"463",46.2,61.430886080432,1394.44321146715
"464",46.3,62.0832349791968,1394.3058625748
"465",46.4,62.7431103183601,1394.25222920086
"466",46.5,63.4100748231791,1394.28202020355
"467",46.6,64.0836718615122,1394.39490771418
"468",46.7,64.7634252253993,1394.59052545631
"469",46.8,65.4488389761022,1394.86846701665
"470",46.9,66.1393973567616,1395.22828407372
"471",47,66.834564776795,1395.66948459072
